union_type,union_name,union_location,union_members,union_detail_href
BCTD,BLDG & CONSTRN TRADES DEPT,2540 NORTH WATNEY WAYFAIRFIELD, CA 94533,3500,http://www.unions.org/unions/building-construction-trades-department/local-0/665
BCTD,BLDG & CONSTRN TRADES DEPT,MARTINEZ, CA 94553,25,http://www.unions.org/unions/building-construction-trades-department/local-0/8060
BCTD,BLDG & CONSTRN TRADES DEPT,8400 ENTERPRISE WAYOAKLAND, CA 94621,28,http://www.unions.org/unions/building-construction-trades-department/local-0/7613
BCTD,BLDG & CONSTRN TRADES DEPT,4174 REDWOOD HWYSAN RAFAEL, CA 949032618,17,http://www.unions.org/unions/building-construction-trades-department/local-0/2968
BCTD,BLDG & CONSTRN TRADES DEPT,2102 ALMADEN ROADSAN JOSE, CA 951252104,24,http://www.unions.org/unions/building-construction-trades-department/local-0/14122
BCTD,BLDG & CONSTRN TRADES DEPT,STOCKTON, CA 95205,2200,http://www.unions.org/unions/building-construction-trades-department/local-0/3008
BCTD,BLDG & CONSTRN TRADES DEPT,MODESTO, CA 953531890,24,http://www.unions.org/unions/building-construction-trades-department/local-0/1900
BCTD,BLDG & CONSTRN TRADES DEPT,2840 EL CENTRO RD #107SACRAMENTO, CA 95833,29,http://www.unions.org/unions/building-construction-trades-department/local-0/12181
BCTGMI,BAKERY, TOBACCO & GRAIN Local 24,500 JEFFERSON STREETREDWOOD CITY, CA 94063,1208,http://www.unions.org/unions/the-bakery,-confectionery,-tobacco-workers-and-grain-millers-international-union/local-24/12342
BCTGMI,BAKERY, TOBACCO & GRAIN Local 125,14144 DOOLITTLE DRIVESAN LEANDRO, CA 94577,2425,http://www.unions.org/unions/the-bakery,-confectionery,-tobacco-workers-and-grain-millers-international-union/local-125/14599
BCTGMI,BAKERY, TOBACCO & GRAIN Local 59,2453 STONEYCREEK CIRACAMPO, CA 952209564,383,http://www.unions.org/unions/the-bakery,-confectionery,-tobacco-workers-and-grain-millers-international-union/local-59/1738
BCTGMI,BAKERY, TOBACCO & GRAIN Local 85,7125 GOVERNORS CIRCLESACRAMENTO, CA 95823,1437,http://www.unions.org/unions/the-bakery,-confectionery,-tobacco-workers-and-grain-millers-international-union/local-85/12168
BLE,LOCOMOTIVE ENGINEERS, IBT Local 65,162 TULARE STREETBRISBANE, CA 940051308,53,http://www.unions.org/unions/brotherhood-of-locomotive-engineers/local-65/9361
BLE,LOCOMOTIVE ENGINEERS, IBT Local 839,GLEN ELLEN, CA 954420447,98,http://www.unions.org/unions/brotherhood-of-locomotive-engineers/local-839/3010
BLE,LOCOMOTIVE ENGINEERS, IBT Local 144,528 FISHER CIRCLEFOLSOM, CA 956309540,96,http://www.unions.org/unions/brotherhood-of-locomotive-engineers/local-144/4137
BLE,LOCOMOTIVE ENGINEERS, IBT Local 692,3773 ANTELOPE WAYROCKLIN, CA 956771940,101,http://www.unions.org/unions/brotherhood-of-locomotive-engineers/local-692/18498
BLE,LOCOMOTIVE ENGINEERS, IBT Local 283,250 MARKHAM AVENUEVACAVILLE, CA 956882315,62,http://www.unions.org/unions/brotherhood-of-locomotive-engineers/local-283/16419
BMWE,MAINTENANCE OF WAY EMPLS, IBT Local 1002,2076 RAPUNZEL CTOAKDALE, CA 953613393,89,http://www.unions.org/unions/brotherhood-of-maintenance-of-way-employees/local-1002/10629
BMWE,MAINTENANCE OF WAY EMPLS, IBT Local 407,7599 SYCAMORE DRCITRUS HEIGHTS, CA 956102210,83,http://www.unions.org/unions/brotherhood-of-maintenance-of-way-employees/local-407/2357
BMWE,MAINTENANCE OF WAY EMPLS, IBT,510 8TH STREETSACRAMENTO, CA 958141206,1723,http://www.unions.org/unions/brotherhood-of-maintenance-of-way-employees/local-0/6273
BMWE,MAINTENANCE OF WAY EMPLS, IBT Local 922,SACRAMENTO, CA 958600304,156,http://www.unions.org/unions/brotherhood-of-maintenance-of-way-employees/local-922/1581
BRS,RAILROAD SIGNALMEN Local 153,SAN FRANCISCO, CA 94134,44,http://www.unions.org/unions/brotherhood-of-railroad-signalmen/local-153/15083
BRS,RAILROAD SIGNALMEN Local 229,5733 MARETA LANELOOMIS, CA 95650,77,http://www.unions.org/unions/brotherhood-of-railroad-signalmen/local-229/7019
BSOIW,IRON WORKERS Local 377,570 BARNEVELD AVENUESAN FRANCISCO, CA 941241804,2595,http://www.unions.org/unions/international-association-of-bridge,-structural,-ornamental,-and-reinforcing-iro/local-377/7850
BSOIW,IRON WORKERS Local 378,3120 BAYSHORE ROADBENICIA, CA 94510,2302,http://www.unions.org/unions/international-association-of-bridge,-structural,-ornamental,-and-reinforcing-iro/local-378/7279
BSOIW,IRON WORKERS Local 844,1660 SAN PABLO AVEPINOLE, CA 945642072,260,http://www.unions.org/unions/international-association-of-bridge,-structural,-ornamental,-and-reinforcing-iro/local-844/7657
BSOIW,IRON WORKERS Local 790,8130 BALDWIN STREETOAKLAND, CA 94621,905,http://www.unions.org/unions/international-association-of-bridge,-structural,-ornamental,-and-reinforcing-iro/local-790/7659
BSOIW,IRON WORKERS Local 118,2840 EL CENTRO ROAD, #118SACRAMENTO, CA 95833,1456,http://www.unions.org/unions/international-association-of-bridge,-structural,-ornamental,-and-reinforcing-iro/local-118/7855
CJA,CARPENTERS Local 1496,6190 N CECELIAFRESNO, CA 937223204,54,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-1496/1562
CJA,CARPENTERS Local 605,751 NEESON ROADMARINA, CA 93933,684,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-605/7302
CJA,CARPENTERS Local 22,2085 THIRD STSAN FRANCISCO, CA 94107,3270,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-22/6883
CJA,CARPENTERS Local 1861,1153 CHESS DRIVE STE 100FOSTER CITY, CA 94404,183,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-1861/3295
CJA,CARPENTERS Local 217,1153 CHESS DR STE 100FOSTER CITY, CA 94404,1780,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-217/7592
CJA,CARPENTERS Local 713,1050 MATTOX ROADHAYWARD, CA 94541,3563,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-713/7623
CJA,CARPENTERS Local 102,3095 INDEPENDENCE DRLIVERMORE, CA 94551,1534,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-102/7933
CJA,CARPENTERS Local 152,3780 ALHAMBRA AVENUEMARTINEZ, CA 945533804,2795,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-152/7640
CJA,CARPENTERS Local 25,3780 ALHAMBRA AVENUEMARTINEZ, CA 945533804,2290,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-25/8693
CJA,CARPENTERS Local 180,404 NEBRASKA STVALLEJO, CA 94590,1069,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-180/7733
CJA,CARPENTERS Local 2236,115 BROADWAYOAKLAND, CA 94607,783,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-2236/7726
CJA,CARPENTERS Local 68,8400 ENTERPRISE WAY RM 202OAKLAND, CA 94621,1635,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-68/7340
CJA,CARPENTERS Local 34,55 Hegenberger PlaceOakland, CA 94621,1153,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-34/7729
CJA,CARPENTERS,265 HEGENBERGER ROAD, #200OAKLAND, CA 946212204,2,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-0/12153
CJA,CARPENTERS Local 35,647 Lindaro StreetSan Rafael, CA 94901,621,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-35/7444
CJA,CARPENTERS Local 505,225 SEARIDGE ROADAPTOS, CA 95003,428,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-505/7632
CJA,CARPENTERS Local 262,2102 ALMADEN ROAD ROOM 109SAN JOSE, CA 95125,303,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-262/2333
CJA,CARPENTERS Local 405,2102 ALMADEN RDSAN JOSE, CA 95125,3722,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-405/7865
CJA,CARPENTERS Local 9144,2102 ALMADEN RD # 116SAN JOSE, CA 951252190,1299,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-9144/7795
CJA,CARPENTERS Local 2927,P.O. BOX 185SUTTER CREEK, CA 95685,108,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-2927/8641
CJA,CARPENTERS Local 2652,300 HWY 49SUTTER CREEK, CA 956850185,229,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-2652/5034
CJA,CARPENTERS Local 2749,CAMINO, CA 957090451,7,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-2749/4824
CJA,CARPENTERS Local 109,4421 PELL DRIVE, SUITE DSACRAMENTO, CA 95838,1023,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-109/7088
CJA,CARPENTERS Local 46,4421 PELL DRIVESACRAMENTO, CA 95838,2579,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-46/7365
CJA,CARPENTERS Local 1618,4421 PELL DRIVESACRAMENTO, CA 958382534,345,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-1618/567
CJA,CARPENTERS Local 2687,MARYSVILLE, CA 959018549,19,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-2687/9049
CJA,CARPENTERS Local 1789,2720 Young StreetSOUTH LAKE TAHOE, CA 961515070,125,http://www.unions.org/unions/the-united-brotherhood-of-carpenters-and-joiners-of-america/local-1789/10391
CWA,COMMUNICATIONS WORKERS Local 9490,7 MIDWAY AVESALINAS, CA 939052333,70,http://www.unions.org/unions/communication-workers-of-america/local-9490/11300
CWA,COMMUNICATIONS WORKERS Local 39521,433 NATOMA STREET 3RD FLSAN FRANCISCO, CA 94103,1350,http://www.unions.org/unions/communication-workers-of-america/local-39521/9255
CWA,COMMUNICATIONS WORKERS Local 9410,240 2ND STSAN FRANCISCO, CA 94105,630,http://www.unions.org/unions/communication-workers-of-america/local-9410/9194
CWA,COMMUNICATIONS WORKERS Local 59051,240 2nd St.SAN FRANCISCO, CA 94105,457,http://www.unions.org/unions/communication-workers-of-america/local-59051/9298
CWA,COMMUNICATIONS WORKERS,1153 CHESS DRIVE #204FOSTER CITY, CA 944041197,15031,http://www.unions.org/unions/communication-workers-of-america/local-0/4920
CWA,COMMUNICATIONS WORKERS Local 9412,29868 MISSION BLVDHAYWARD, CA 945446726,871,http://www.unions.org/unions/communication-workers-of-america/local-9412/9252
CWA,COMMUNICATIONS WORKERS Local 89262,519 ESTUDILLO AVENUESAN LEANDRO, CA 945774600,250,http://www.unions.org/unions/communication-workers-of-america/local-89262/13826
CWA,COMMUNICATIONS WORKERS Local 9415,1831 PARK BOULEVARDOAKLAND, CA 946061730,1653,http://www.unions.org/unions/communication-workers-of-america/local-9415/9284
